item_id,title,category,brand,price,tags
P001,iPhone 15,Mobile,Apple,79999,iphone smartphone ios
P002,Samsung S24,Mobile,Samsung,74999,android smartphone
P003,Boat Earbuds,Audio,Boat,1999,earbuds bluetooth
P004,Nike Running Shoes,Fashion,Nike,4999,running shoes
P005,Adidas Sneakers,Fashion,Adidas,4599,sports shoes
P006,HP Laptop,Electronics,HP,55999,laptop computer
P007,Dell Laptop,Electronics,Dell,60999,laptop business
P008,Sony Headphones,Audio,Sony,4999,wireless audio
P009,Puma Shoes,Fashion,Puma,3999,running footwear
P010,OnePlus 13,Mobile,OnePlus,69999,android smartphone
